Tag,Excerpt,Wiki
itunes,iTunes is a media library management and playback application developed and maintained by Apple for OS X and Windows. It is also used to synchronise Apple media devices and manage their contents.,"<p><img src=""https://i.stack.imgur.com/BCVCb.png"" alt=""iTunes 10 Logo""></p>

<p>Apple also uses iTunes to offer their music and app store, where digital music can be purchased. iTunes plays <a href=""http://en.wikipedia.org/wiki/Digital_rights_management"" rel=""nofollow noreferrer"">DRM</a> enabled music from the music store along with other various media formats.</p>

<p>iTunes is required to activate an iOS device before it can be used. This is slated to change soon in iOS 5, however.</p>
"
printer,A printer is a device used for printing text and/or graphics from the computer.,
exchange,"Part of a line of server products from Microsoft, Exchange provides email, calendar, contact and task features to enterprises.",
finder,Mac OS X's default file manager and desktop shell,"<p><img src=""https://i.stack.imgur.com/fU1BZ.png"" alt=""Finder Logo""></p>

<p><a href=""http://en.wikipedia.org/wiki/Finder_%28software%29"" rel=""nofollow noreferrer"">Finder</a> is the default file manager and desktop environment in Apple's Mac OS X. In addition to being a file manager, it acts as a shell. It is responsible for allowing the user to launch and close applications, mount network drives, etc.</p>
"
flash,"Adobe Flash is a cross-platform multimedia runtime used to embed animations, video, and interactive applications into web pages.","<p><a href=""http://en.wikipedia.org/wiki/Adobe_flash"" rel=""nofollow noreferrer"">Adobe Flash</a> is a cross-platform multimedia runtime used to embed animations, video, and interactive applications into web pages. According to Adobe, Flash delivers <a href=""http://blogs.adobe.com/conversations/2010/02/open_access_to_content_and_app.html"" rel=""nofollow noreferrer"">over 75%</a> of online video and the majority of casual gaming. It is installed on an estimated <a href=""http://statowl.com/plugin_overview.php"" rel=""nofollow noreferrer"">96%</a> to <a href=""http://www.adobe.com/products/player_census/flashplayer/"" rel=""nofollow noreferrer"">99%</a> of internet-connected desktop computers, and the newest version (10.1) was recently released for Android 2.2 mobile devices.</p>

<p>Adobe announced that they will <a href=""https://www.reuters.com/article/us-adobe-systems-flash/adobe-to-pull-plug-on-flash-ending-an-era-idUSKBN1AA22R"" rel=""nofollow noreferrer"">sunset Flash in 2020</a>.</p>
"
usb,Universal Serial Bus; an interface standard for connecting computers and electronic devices for communication and charging.,"<h3>Usage</h3>

<p><a href=""http://en.wikipedia.org/wiki/Universal_Serial_Bus"" rel=""nofollow noreferrer"">Universal Serial Bus</a> is a specification to establish communication between devices and a host controller (usually personal computers). Though designed for personal computers, it has become commonplace on other devices such as smartphones, PDAs and video game consoles, and is also used as a power cord for charging portable devices.</p>

<h3>Revisions</h3>

<p>Currently, there are three major <a href=""http://en.wikipedia.org/wiki/Universal_Serial_Bus#Version_history"" rel=""nofollow noreferrer"">versions</a> of the USB specification, with USB 2.0 now being available on most devices, thus replacing USB 1. It allows a maximum theoretical bandwidth of 480 Mbit/s.</p>

<p>USB 3.0, a specification completed in 2008, can transmit data at up to 5 Gbit/s. USB devices are available with various <a href=""http://en.wikipedia.org/wiki/Universal_Serial_Bus#Connector_types"" rel=""nofollow noreferrer"">connectors</a> and cables. USB 3.0 introduces a new connector type that however remains backwards-compatible with older USB devices.</p>

<p><img src=""https://i.stack.imgur.com/bEmCX.png"" alt=""alt text""><br>
Basic <em>trident</em> USB Logo.</p>

<h3>Related tags</h3>

<ul>
<li><p><a href=""/questions/tagged/usb-drive"" class=""post-tag"" title=""show questions tagged &#39;usb-drive&#39;"" rel=""tag"">usb-drive</a> lists questions about storage drives connected by USB, especially devices known otherwise as flash drive, USB stick, USB key and thumb </p></li>
<li><p><a href=""/questions/tagged/usb-3"" class=""post-tag"" title=""show questions tagged &#39;usb-3&#39;"" rel=""tag"">usb-3</a> for questions specifically about the new USB 3.0 standard</p></li>
<li><p><a href=""/questions/tagged/usb-2"" class=""post-tag"" title=""show questions tagged &#39;usb-2&#39;"" rel=""tag"">usb-2</a> for questions specifically about the USD 2.0 standard</p></li>
</ul>
"
laptop,Laptops (also called notebooks) are portable personal computers with an integrated screen and keyboard. They come in a variety of sizes.,"<p>Laptops are functionally identical to desktop computers and are widely used because of their portability.</p>

<p>Laptops, however, face multiple issues not found in desktops. For example, they are generally less powerful because of their mobility requirement.</p>

<p><a href=""http://en.wikipedia.org/wiki/Laptop"" rel=""nofollow noreferrer"">Laptops on Wikipedia</a></p>

<h1>See also</h1>

<ul>
<li><a href=""/questions/tagged/netbook"" class=""post-tag"" title=""show questions tagged &#39;netbook&#39;"" rel=""tag"">netbook</a></li>
<li><a href=""/questions/tagged/notebook"" class=""post-tag"" title=""show questions tagged &#39;notebook&#39;"" rel=""tag"">notebook</a></li>
</ul>
"
raid,"Redundant array of independent/inexpensive disks; a technology which utilizes multiple disks to provide increased reliability, performance, and/or redundancy. Can be implemented either in software or with a hardware controller.","<p>RAID stands for Redundant Array of Independent/Inexpensive Disks, and is a technology which can provide increased reliability, performance, and/or redundancy by utilizing multiple hard drives simultaneously.  </p>

<p>RAID can be implemented in a computer via either a hardware or software controller &ndash; the controller takes care of distributing the write and read commands to the drives in use.</p>

<p>There are several types of <a href=""http://en.wikipedia.org/wiki/Raid_levels"" rel=""nofollow noreferrer"">RAID configurations</a> (also called ""RAID levels""), depending on the configuration of hard disks. The most well known are:</p>

<ul>
<li>RAID-0 (""stripeset"") distributes the data over all available disks without redundancy.  Improves performance by writing to multiple disks in parallel</li>
<li>RAID-1 (""mirror"") duplicates the data by mirroring every drive, thus creating a  1:1 copy.  Slight performance drop in writes, but parallel reads from the multiple copies can improve read performance.</li>
<li>RAID-3, RAID-4 are no longer relevant</li>
<li>RAID-5 stripes the data and spreads redundancy information on all drives.  Can tolerate failure of 1 device.</li>
<li>RAID-6 stripes the data and spreads two copies of redundant information across the drives.  Can tolerate a 2 device failure.</li>
</ul>

<p>There are also <a href=""http://en.wikipedia.org/wiki/Nested_RAID_levels"" rel=""nofollow noreferrer"">nested RAID levels</a> which combine the above RAID levels with several others.</p>

<h3>Related tags</h3>

<ul>
<li><a href=""/questions/tagged/software-raid"" class=""post-tag"" title=""show questions tagged &#39;software-raid&#39;"" rel=""tag"">software-raid</a></li>
<li><a href=""/questions/tagged/hardware-raid"" class=""post-tag"" title=""show questions tagged &#39;hardware-raid&#39;"" rel=""tag"">hardware-raid</a></li>
</ul>

<p>Tags for different RAID levels:</p>

<ul>
<li><a href=""/questions/tagged/raid-0"" class=""post-tag"" title=""show questions tagged &#39;raid-0&#39;"" rel=""tag"">raid-0</a></li>
<li><a href=""/questions/tagged/raid-1"" class=""post-tag"" title=""show questions tagged &#39;raid-1&#39;"" rel=""tag"">raid-1</a></li>
<li><a href=""/questions/tagged/raid-5"" class=""post-tag"" title=""show questions tagged &#39;raid-5&#39;"" rel=""tag"">raid-5</a></li>
<li><a href=""/questions/tagged/raid-10"" class=""post-tag"" title=""show questions tagged &#39;raid-10&#39;"" rel=""tag"">raid-10</a></li>
<li><a href=""/questions/tagged/raid-z"" class=""post-tag"" title=""show questions tagged &#39;raid-z&#39;"" rel=""tag"">raid-z</a></li>
</ul>
"
router,"A router is a device that forwards data packets across multiple networks. Questions tagged with router can cover router hardware, software, and network configuration.","<p><a href=""http://en.wikipedia.org/wiki/Router"" rel=""nofollow noreferrer"">From Wikipedia</a>:</p>

<blockquote>
  <p>A router is a device that forwards data packets across computer networks. Routers perform the data ""traffic directing"" functions on the Internet. A router is a microprocessor-controlled device that is connected to two or more data lines from different networks. When a data packet comes in on one of the lines, the router reads the address information in the packet to determine its ultimate destination. Then, using information in its routing table, it directs the packet to the next network on its journey. A data packet is typically passed from router to router through the networks of the Internet until it gets to its destination computer. Routers also perform other tasks such as translating the data transmission protocol of the packet to the appropriate protocol of the next network, and preventing unauthorized access to a network by the use of a firewall.</p>
  
  <p>The most familiar type of routers are home and small office routers that simply pass data, such as web pages and email, between the home computers and the owner's cable or DSL modem, which connects to the Internet (ISP). However more sophisticated routers range from enterprise routers, which connect large business or ISP networks up to the powerful core routers that forward data at high speed along the optical fiber lines of the Internet backbone.</p>
</blockquote>
"
safari,A WebKit-based web browser designed by Apple. The default browser on OS X.,"<p><a href=""http://www.apple.com/safari/"" rel=""nofollow noreferrer"">Safari</a> is a WebKit-based web browser developed by Apple Inc. It ships with Mac OS X as the default web browser.</p>

<p>A Windows port of Safari existed from Safari 3.1 to Safari 5.1. </p>

<h3>Popular questions</h3>

<ul>
<li><a href=""http://superuser.com/questions/236558/how-to-clear-all-html5-local-storage-from-safari"">Clearing all HTML5 local storage objects and cookies</a></li>
<li><a href=""http://superuser.com/questions/186594/how-can-i-force-safari-to-perform-a-full-page-reload-without-using-the-mouse"">Force a full page reload without using the mouse</a></li>
<li><a href=""http://superuser.com/questions/174865/where-is-the-print-preview-option-for-safari-on-windows"">Print Preview option on Windows version of Safari</a></li>
<li><a href=""http://superuser.com/questions/18939/how-to-delete-specific-http-authentication-credentials-from-safari-for-windows"">Deleting specific HTTP authentication credentials</a></li>
<li><a href=""http://superuser.com/questions/85895/how-to-use-offline-mode-in-safari"">Using Safari in offline mode</a></li>
</ul>

<h3>Other browsers</h3>

<ul>
<li><a href=""/questions/tagged/firefox"" class=""post-tag"" title=""show questions tagged &#39;firefox&#39;"" rel=""tag"">firefox</a></li>
<li><a href=""/questions/tagged/google-chrome"" class=""post-tag"" title=""show questions tagged &#39;google-chrome&#39;"" rel=""tag"">google-chrome</a></li>
<li><a href=""/questions/tagged/internet-explorer"" class=""post-tag"" title=""show questions tagged &#39;internet-explorer&#39;"" rel=""tag"">internet-explorer</a></li>
<li><a href=""/questions/tagged/opera"" class=""post-tag"" title=""show questions tagged &#39;opera&#39;"" rel=""tag"">opera</a></li>
</ul>
"
opera,Web browser and Internet suite developed by Opera Software. Specify version number.,"<p>Do specify your Opera version when asking.</p>

<p>There are two flavours of Opera. The one using Blink is known as Opera Next, or version 15 and onward. The older version, up to version 12, uses the Presto engine. </p>

<h2>Popular questions</h2>

<ul>
<li><a href=""http://superuser.com/questions/149190/take-a-screenshot-of-an-entire-webpage-in-opera"">Take a screenshot of an entire webpage in Opera</a></li>
<li><a href=""http://superuser.com/questions/69011/how-to-synchronise-bookmarks-between-google-chrome-and-opera"">How to synchronise bookmarks between Google Chrome and Opera?</a></li>
<li><a href=""http://superuser.com/questions/40562/how-to-get-passwords-from-opera-password-manager"">How to get passwords from Opera Password manager?</a></li>
</ul>

<h3>Other browsers</h3>

<ul>
<li><a href=""/questions/tagged/google-chrome"" class=""post-tag"" title=""show questions tagged &#39;google-chrome&#39;"" rel=""tag"">google-chrome</a></li>
<li><a href=""/questions/tagged/firefox"" class=""post-tag"" title=""show questions tagged &#39;firefox&#39;"" rel=""tag"">firefox</a></li>
<li><a href=""/questions/tagged/internet-explorer"" class=""post-tag"" title=""show questions tagged &#39;internet-explorer&#39;"" rel=""tag"">internet-explorer</a></li>
<li><a href=""/questions/tagged/safari"" class=""post-tag"" title=""show questions tagged &#39;safari&#39;"" rel=""tag"">safari</a></li>
</ul>
"
